authors,published_parsed,updated_parsed,primary_category,tagged_categories,weights,pages,references
"[u'Alejandro Erickson', u'Abbas Eslami Kiasari', u'Javier Navaridas', u'Iain A. Stewart']","time.struct_time(tm_year=2015, tm_mon=9, tm_mday=5, tm_hour=22, tm_min=40, tm_sec=58, tm_wday=5, tm_yday=248, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=9, tm_mday=5, tm_hour=22, tm_min=40, tm_sec=58, tm_wday=5, tm_yday=248, tm_isdst=0)",cs.DC,"[u'cs.DC', u'C.2.1; B.4.3']",0.3333333333333333,9,16
"[u'A. N. Gorban', u'N. R. Sumner', u'A. Y. Zinovyev']","time.struct_time(tm_year=2007, tm_mon=12, tm_mday=31, tm_hour=1, tm_min=26, tm_sec=59, tm_wday=0, tm_yday=365, tm_isdst=0)","time.struct_time(tm_year=2007, tm_mon=12, tm_mday=31, tm_hour=1, tm_min=26, tm_sec=59, tm_wday=0, tm_yday=365, tm_isdst=0)",physics.data-an,"[u'physics.data-an', u'physics.bio-ph']",0.5,20,32
"[u'Mustafa Hajij', u'Bei Wang', u'Carlos Scheidegger', u'Paul Rosen']","time.struct_time(tm_year=2017, tm_mon=7, tm_mday=20, tm_hour=19, tm_min=13, tm_sec=55, tm_wday=3, tm_yday=201, tm_isdst=0)","time.struct_time(tm_year=2017, tm_mon=10, tm_mday=3, tm_hour=3, tm_min=30, tm_sec=17, tm_wday=1, tm_yday=276, tm_isdst=0)",cs.GR,"[u'cs.GR', u'cs.CG']",0.3333333333333333,11,55
"[u'S. Ahadpour', u'Y. Sadra']","time.struct_time(tm_year=2010, tm_mon=4, tm_mday=9, tm_hour=15, tm_min=55, tm_sec=59, tm_wday=4, tm_yday=99, tm_isdst=0)","time.struct_time(tm_year=2010, tm_mon=4, tm_mday=9, tm_hour=15, tm_min=55, tm_sec=59, tm_wday=4, tm_yday=99, tm_isdst=0)",nlin.CD,"[u'nlin.CD', u'cs.DS', u'physics.data-an']",1.0,13,20
[u'Matthew Pietrosanu'],"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=28, tm_hour=23, tm_min=50, tm_sec=2, tm_wday=0, tm_yday=333, tm_isdst=0)","time.struct_time(tm_year=2016, tm_mon=11, tm_mday=28, tm_hour=23, tm_min=50, tm_sec=2, tm_wday=0, tm_yday=333, tm_isdst=0)",stat.AP,[u'stat.AP'],0.0,37,21
[u'Peter Saveliev'],"time.struct_time(tm_year=2011, tm_mon=1, tm_mday=11, tm_hour=3, tm_min=7, tm_sec=34, tm_wday=1, tm_yday=11, tm_isdst=0)","time.struct_time(tm_year=2011, tm_mon=4, tm_mday=28, tm_hour=22, tm_min=38, tm_sec=32, tm_wday=3, tm_yday=118, tm_isdst=0)",math.AT,"[u'math.AT', u'55']",0.0,9,9
"[u'Yen-Chi Chen', u'Daren Wang', u'Alessandro Rinaldo', u'Larry Wasserman']","time.struct_time(tm_year=2015, tm_mon=10, tm_mday=8, tm_hour=20, tm_min=45, tm_sec=2, tm_wday=3, tm_yday=281, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=10, tm_mday=8, tm_hour=20, tm_min=45, tm_sec=2, tm_wday=3, tm_yday=281, tm_isdst=0)",stat.ME,"[u'stat.ME', u'stat.ML']",0.3333333333333333,10,31
"[u'Mustafa Hajij', u'Basem Assiri', u'Paul Rosen']","time.struct_time(tm_year=2017, tm_mon=12, tm_mday=11, tm_hour=7, tm_min=2, tm_sec=6, tm_wday=0, tm_yday=345, tm_isdst=0)","time.struct_time(tm_year=2017, tm_mon=12, tm_mday=12, tm_hour=2, tm_min=32, tm_sec=46, tm_wday=1, tm_yday=346, tm_isdst=0)",cs.CV,"[u'cs.CV', u'cs.DC', u'stat.ML']",0.5,14,48
"[u'Jo\xe3o Pita Costa', u'Mikael Vejdemo Johansson', u'Primo\u017e \u0160kraba']","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=30, tm_hour=16, tm_min=15, tm_sec=39, tm_wday=1, tm_yday=273, tm_isdst=0)","time.struct_time(tm_year=2015, tm_mon=6, tm_mday=21, tm_hour=17, tm_min=0, tm_sec=45, tm_wday=6, tm_yday=172, tm_isdst=0)",math.RA,"[u'math.RA', u'cs.CG', u'math.CT', u'03G30, 06D22, 18B25']",0.5,18,35
"[u'Alireza Dirafzoon', u'Edgar Lobaton']","time.struct_time(tm_year=2014, tm_mon=10, tm_mday=17, tm_hour=3, tm_min=32, tm_sec=52, tm_wday=4, tm_yday=290, tm_isdst=0)","time.struct_time(tm_year=2014, tm_mon=10, tm_mday=17, tm_hour=3, tm_min=32, tm_sec=52, tm_wday=4, tm_yday=290, tm_isdst=0)",cs.RO,"[u'cs.RO', u'cs.SY', u'math.AT', u'stat.ML']",1.0,14,25
"[u'M. N. Chernodub', u'F. V. Gubarev', u'M. I. Polikarpov', u'V. I. Zakharov']","time.struct_time(tm_year=2000, tm_mon=3, tm_mday=1, tm_hour=15, tm_min=9, tm_sec=5, tm_wday=2, tm_yday=61, tm_isdst=0)","time.struct_time(tm_year=2000, tm_mon=3, tm_mday=1, tm_hour=15, tm_min=9, tm_sec=5, tm_wday=2, tm_yday=61, tm_isdst=0)",hep-ph,"[u'hep-ph', u'hep-lat', u'hep-th']",0.3333333333333333,11,33
